iter	Passed	Remaining
0	0	789
1	1	683
2	1	645
3	2	668
4	3	667
5	4	677
6	4	687
7	5	697
8	6	721
9	7	714
10	7	707
11	8	700
12	9	702
13	9	696
14	10	692
15	11	685
16	11	684
17	12	679
18	13	680
19	13	682
20	14	683
21	15	677
22	15	674
23	16	669
24	17	667
25	17	663
26	18	662
27	19	661
28	19	666
29	20	666
30	21	662
31	21	659
32	22	656
33	22	652
34	23	650
35	24	650
36	24	649
37	25	646
38	26	647
39	27	649
40	27	652
41	28	652
42	29	650
43	29	650
44	30	650
45	31	650
46	32	649
47	32	647
48	33	644
49	34	648
50	34	647
51	35	647
52	36	647
53	36	645
54	37	645
55	38	642
56	38	642
57	39	640
58	40	638
59	40	638
60	41	638
61	42	639
62	43	640
63	43	639
64	44	636
65	44	635
66	45	634
67	46	633
68	46	631
69	48	641
70	49	641
71	49	644
72	50	643
73	51	642
74	52	641
75	52	640
76	53	639
77	54	638
78	54	636
79	55	635
80	55	634
81	56	633
82	57	629
83	57	628
84	58	627
85	59	628
86	59	628
87	60	627
88	61	629
89	62	630
90	63	631
91	63	631
92	64	631
93	65	630
94	66	629
95	66	629
96	67	628
97	68	627
98	68	625
99	69	624
100	70	627
101	71	626
102	71	626
103	72	626
104	73	625
105	74	625
106	75	627
107	76	631
108	77	635
109	78	636
110	79	637
111	80	637
112	81	635
113	81	635
114	82	634
115	83	633
116	83	631
117	84	630
118	85	631
119	86	631
120	86	631
121	87	630
122	88	629
123	88	628
124	89	626
125	90	624
126	90	622
127	91	620
128	91	619
129	92	619
130	93	617
131	93	617
132	94	617
133	95	615
134	95	614
135	96	612
136	97	611
137	97	610
138	98	608
139	98	606
140	99	606
141	100	604
142	100	604
143	101	604
144	102	603
145	103	603
146	103	601
147	104	600
148	105	600
149	105	599
150	106	598
151	107	598
152	107	597
153	108	597
154	109	596
155	110	595
156	110	594
157	111	592
158	111	591
159	112	590
160	112	588
161	113	586
162	114	586
163	114	585
164	115	584
165	116	584
166	116	583
167	117	582
168	118	581
169	118	580
170	119	579
171	120	578
172	120	577
173	121	576
174	122	575
175	122	574
176	123	575
177	124	574
178	124	572
179	125	571
180	126	570
181	126	569
182	127	568
183	127	567
184	128	566
185	129	566
186	130	566
187	130	565
188	131	564
189	132	563
190	132	563
191	133	562
192	134	561
193	134	559
194	135	558
195	135	557
196	136	557
197	137	556
198	138	556
199	138	555
200	139	553
201	140	553
202	140	552
203	141	551
204	141	550
205	142	549
206	143	549
207	144	549
208	145	549
209	145	548
210	146	547
211	146	546
212	147	545
213	148	544
214	148	542
215	149	541
216	149	540
217	150	540
218	151	539
219	151	538
220	152	538
221	153	537
222	153	536
223	154	535
224	155	534
225	155	533
226	156	532
227	157	532
228	157	531
229	158	531
230	159	530
231	160	530
232	160	529
233	161	529
234	162	528
235	162	527
236	163	526
237	164	526
238	164	525
239	165	525
240	166	524
241	167	523
242	167	523
243	168	522
244	169	521
245	169	520
246	170	519
247	171	518
248	171	518
249	172	517
250	173	517
251	173	516
252	174	515
253	175	515
254	175	514
255	176	513
256	177	512
257	177	511
258	178	510
259	179	510
260	179	509
261	180	508
262	181	508
263	182	508
264	182	507
265	183	506
266	183	505
267	184	504
268	185	503
269	185	502
270	186	501
271	186	500
272	187	499
273	188	499
274	188	498
275	189	497
276	190	496
277	190	495
278	191	495
279	192	494
280	192	493
281	193	492
282	194	492
283	195	492
284	195	491
285	196	490
286	197	489
287	197	489
288	198	488
289	199	488
290	200	487
291	200	487
292	201	486
293	202	485
294	202	485
295	203	484
296	204	484
297	205	483
298	205	482
299	206	482
300	207	481
301	208	480
302	208	480
303	209	480
304	210	479
305	211	478
306	212	478
307	212	478
308	213	477
309	214	477
310	215	476
311	215	475
312	216	474
313	217	474
314	217	473
315	218	473
316	219	473
317	220	472
318	221	472
319	221	471
320	222	470
321	222	469
322	223	468
323	224	468
324	225	468
325	226	468
326	227	468
327	228	467
328	228	467
329	229	466
330	230	465
331	231	465
332	231	464
333	232	464
334	233	463
335	234	462
336	234	462
337	235	461
338	236	460
339	236	459
340	237	459
341	238	458
342	239	458
343	239	457
344	240	456
345	241	456
346	241	455
347	242	454
348	243	453
349	243	452
350	244	451
351	245	451
352	245	450
353	246	449
354	247	449
355	248	448
356	248	447
357	249	447
358	249	446
359	250	445
360	251	444
361	251	443
362	252	443
363	253	442
364	254	442
365	255	441
366	255	441
367	256	440
368	256	439
369	257	438
370	258	437
371	258	436
372	259	436
373	260	435
374	260	434
375	261	434
376	262	433
377	263	432
378	263	431
379	264	431
380	264	430
381	265	429
382	266	428
383	266	427
384	267	427
385	268	426
386	268	425
387	269	424
388	270	424
389	270	423
390	271	422
391	271	421
392	272	420
393	273	420
394	273	419
395	274	418
396	275	418
397	276	417
398	277	417
399	277	416
400	278	415
401	278	414
402	279	414
403	280	413
404	280	412
405	281	411
406	282	411
407	282	410
408	283	410
409	284	409
410	285	408
411	285	407
412	286	406
413	286	406
414	287	405
415	288	404
416	288	403
417	289	402
418	290	402
419	290	401
420	291	400
421	292	400
422	292	399
423	293	398
424	294	397
425	294	397
426	295	396
427	295	395
428	296	394
429	296	393
430	297	392
431	298	392
432	298	391
433	299	390
434	300	389
435	300	388
436	301	388
437	301	387
438	302	386
439	302	385
440	303	384
441	303	383
442	304	383
443	305	382
444	306	381
445	306	380
446	307	380
447	307	379
448	308	378
449	309	377
450	309	377
451	310	376
452	310	375
453	311	374
454	312	374
455	312	373
456	313	372
457	314	371
458	314	371
459	315	370
460	316	369
461	316	368
462	317	367
463	317	367
464	318	366
465	318	365
466	319	364
467	320	364
468	321	363
469	321	362
470	322	362
471	323	361
472	323	360
473	324	359
474	324	359
475	325	358
476	326	357
477	327	357
478	327	356
479	328	355
480	328	354
481	329	354
482	330	353
483	330	352
484	331	352
485	332	351
486	332	350
487	333	350
488	334	349
489	335	348
490	336	348
491	336	347
492	337	347
493	338	346
494	338	345
495	339	344
496	339	343
497	340	343
498	341	342
499	341	341
500	342	341
501	343	340
502	344	339
503	344	339
504	345	338
505	345	337
506	346	337
507	347	336
508	347	335
509	348	335
510	349	334
511	350	333
512	350	333
513	351	332
514	352	331
515	352	330
516	353	330
517	354	329
518	354	328
519	355	327
520	355	327
521	356	326
522	357	325
523	357	325
524	358	324
525	359	323
526	359	322
527	360	322
528	360	321
529	361	320
530	362	319
531	362	319
532	363	318
533	364	317
534	365	317
535	365	316
536	366	315
537	366	315
538	367	314
539	368	313
540	368	312
541	369	312
542	370	311
543	371	311
544	371	310
545	372	309
546	373	309
547	373	308
548	374	307
549	375	306
550	375	306
551	376	305
552	376	304
553	377	303
554	378	303
555	378	302
556	379	301
557	380	301
558	380	300
559	381	299
560	382	298
561	382	298
562	383	297
563	383	296
564	384	295
565	384	295
566	385	294
567	386	293
568	387	293
569	387	292
570	388	291
571	389	291
572	389	290
573	390	289
574	391	289
575	391	288
576	392	287
577	393	287
578	393	286
579	394	285
580	395	285
581	395	284
582	396	283
583	397	282
584	397	282
585	398	281
586	398	280
587	399	280
588	400	279
589	401	278
590	401	278
591	402	277
592	403	276
593	404	276
594	404	275
595	405	274
596	405	273
597	406	273
598	407	272
599	407	271
600	408	271
601	409	270
602	410	269
603	410	269
604	411	268
605	411	267
606	412	267
607	412	266
608	413	265
609	414	264
610	414	264
611	415	263
612	416	262
613	416	262
614	417	261
615	418	260
616	418	260
617	419	259
618	420	258
619	420	257
620	421	257
621	422	256
622	422	255
623	423	255
624	424	254
625	425	253
626	425	253
627	426	252
628	426	251
629	427	251
630	428	250
631	428	249
632	429	249
633	430	248
634	431	247
635	431	247
636	432	246
637	433	246
638	434	245
639	435	244
640	436	244
641	437	243
642	438	243
643	438	242
644	439	241
645	440	241
646	440	240
647	441	239
648	442	239
649	442	238
650	443	237
651	444	237
652	445	236
653	446	236
654	446	235
655	447	234
656	448	234
657	449	233
658	449	232
659	450	232
660	451	231
661	452	230
662	452	230
663	453	229
664	454	228
665	455	228
666	455	227
667	456	226
668	457	226
669	457	225
670	458	224
671	459	224
672	459	223
673	460	222
674	461	222
675	462	221
676	462	220
677	463	220
678	463	219
679	464	218
680	465	217
681	465	217
682	466	216
683	467	215
684	467	215
685	468	214
686	469	213
687	469	213
688	470	212
689	471	211
690	471	210
691	472	210
692	473	209
693	473	208
694	474	208
695	475	207
696	476	206
697	476	206
698	477	205
699	477	204
700	478	204
701	479	203
702	479	202
703	480	201
704	481	201
705	482	200
706	482	200
707	483	199
708	484	198
709	485	198
710	485	197
711	486	196
712	486	195
713	487	195
